col_start_dt,subscriberid,simserial,deviceid,col_end_dt,col_neighborhood,col_sample_type,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_id,col_bw_cl_free,col_bw_cl_total,col_f_latrine_distance,col_p_type,col_p_type_other,col_p_num,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_hw,col_s_type,col_s_type_other,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_o_type,col_o_type_other,col_notes,col_enum,col_photo,__version__,meta/instanceID,_uuid,_submission_time,_tags,_notes
2017-10-27T14:04:31.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ytqR2j5axGiisKhP,2017-10-27T14:29:31.000-04:00,1,7,1001,1001,2017-04-09T10:14:00.000-04:00,23.82438595 90.37795722 -47.73230282 0,23.82438595,90.37795722,-47.73230282,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,2,1,24,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,piped to drain to lake,8,1,v9wkYGvi6LZk5JFVS8i29h,uuid:c1634009-0273-49d5-9a77-9c6b0f479b39,c1634009-0273-49d5-9a77-9c6b0f479b39,2017-10-27T18:29:37,,
2017-10-27T14:29:31.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ytqR2j5axGiisKhP,2017-10-27T14:34:10.000-04:00,1,7,1002,1002,2017-04-09T10:33:00.000-04:00,23.8234116 90.37900269 -35.27106506 0,23.8234116,90.37900269,-35.27106506,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,5,3,17,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Dirty place,"6,7",1,v9wkYGvi6LZk5JFVS8i29h,uuid:849f27db-9c78-4453-818c-3772a37d730f,849f27db-9c78-4453-818c-3772a37d730f,2017-10-27T18:34:16,,
2017-10-27T14:34:10.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ytqR2j5axGiisKhP,2017-10-27T14:36:52.000-04:00,1,7,1003,1003,2017-04-09T14:00:00.000-04:00,23.82372192 90.37809504 -50.59080329 0,23.82372192,90.37809504,-50.59080329,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,3,2,21,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no handwash station available,"1,3",1,v9wkYGvi6LZk5JFVS8i29h,uuid:5c46c3f8-1c02-47b9-9ba1-6fa4275e4f45,5c46c3f8-1c02-47b9-9ba1-6fa4275e4f45,2017-10-27T18:36:58,,
2017-10-27T14:36:53.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ytqR2j5axGiisKhP,2017-10-27T14:50:39.000-04:00,1,9,1004,1004,2017-04-09T10:36:00.000-04:00,23.82437008 90.37797075 -44.25269525 0,23.82437008,90.37797075,-44.25269525,0,1,0,1,n/a,n/a,n/a,n/a,n/a,88,WASA water stored in reserve,0,n/a,1,0.1,0.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,1,v9wkYGvi6LZk5JFVS8i29h,uuid:9d1d0e2a-86be-49ec-8adb-a42d73ec6cdd,9d1d0e2a-86be-49ec-8adb-a42d73ec6cdd,2017-10-27T18:50:45,,
2017-10-27T14:50:39.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ytqR2j5axGiisKhP,2017-10-27T14:56:45.000-04:00,1,3,1005,1005,2017-04-10T11:45:00.000-04:00,23.82385083 90.3775443 -38.31294338 0,23.82385083,90.3775443,-38.31294338,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,0,n/a,2,0,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Near road, household&near by a drain",4,1,v9wkYGvi6LZk5JFVS8i29h,uuid:ca547307-819c-4b12-a1e6-829a56df602f,ca547307-819c-4b12-a1e6-829a56df602f,2017-10-27T18:56:52,,
2017-10-27T14:56:46.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ytqR2j5axGiisKhP,2017-10-27T15:01:56.000-04:00,1,8,1006,1006,2017-04-09T11:01:00.000-04:00,23.82431679 90.37806824 -53.64870513 0,23.82431679,90.37806824,-53.64870513,0,1,0,1,n/a,2,3,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Drain close, trash, child and people walk",4,1,v9wkYGvi6LZk5JFVS8i29h,uuid:8a4484f9-e1a4-448c-8934-09dbc4fd524a,8a4484f9-e1a4-448c-8934-09dbc4fd524a,2017-10-27T19:02:02,,
2017-10-27T15:01:57.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ytqR2j5axGiisKhP,2017-10-27T15:06:20.000-04:00,1,1,1007,1007,2017-04-09T11:20:00.000-04:00,23.82428115 90.3781648 -31.45519112 0,23.82428115,90.3781648,-31.45519112,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,1,2,2,n/a,1,1,0,0,1,1,0,1,20,n/a,n/a,n/a,n/a,"Lot of feace and trash, child and people walk",8,1,v9wkYGvi6LZk5JFVS8i29h,uuid:587aaf6c-5381-4b45-8510-e800c5f3d875,587aaf6c-5381-4b45-8510-e800c5f3d875,2017-10-27T19:06:27,,
2017-10-27T15:06:21.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ytqR2j5axGiisKhP,2017-10-27T15:11:02.000-04:00,1,3,1008,1008,2017-04-09T11:00:00.000-04:00,23.82369803 90.37808942 -39.98361051 0,23.82369803,90.37808942,-39.98361051,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Flexible pipe,0,n/a,2,0,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,This place connects many pipes and many poeple use this water,"1,3",1,v9wkYGvi6LZk5JFVS8i29h,uuid:7fdc4bb0-a668-4342-aa6a-5943782cc608,7fdc4bb0-a668-4342-aa6a-5943782cc608,2017-10-27T19:11:09,,
2017-10-27T15:11:04.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ytqR2j5axGiisKhP,2017-10-27T15:17:30.000-04:00,1,9,1009,1009,2017-04-09T11:10:00.000-04:00,23.82362551 90.37805408 -66.42893662 0,23.82362551,90.37805408,-66.42893662,0,1,0,1,n/a,n/a,n/a,n/a,n/a,88,WASA water stored in reserve,1,1,2,0,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"WASA water besides latrine, many people use this water","1,3",1,v9wkYGvi6LZk5JFVS8i29h,uuid:8b0f5b6f-191f-498f-a7b9-2547d8c8d6d9,8b0f5b6f-191f-498f-a7b9-2547d8c8d6d9,2017-10-27T19:17:37,,
2017-10-27T15:17:31.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ytqR2j5axGiisKhP,2017-10-27T15:20:04.000-04:00,1,8,1010,1010,2017-04-09T11:23:00.000-04:00,23.8235515 90.37852917 -29.85364169 0,23.8235515,90.37852917,-29.85364169,0,2,0,1,n/a,2,3,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Open bathing place, open drain","6,7",1,v9wkYGvi6LZk5JFVS8i29h,uuid:44eb4835-ad58-4ba0-bad5-37572400b877,44eb4835-ad58-4ba0-bad5-37572400b877,2017-10-27T19:20:12,,
